# x_m,y_m,w_tr_right_m,w_tr_left_m
32.53994378175906,-24.801062088457613,2.0,2.0
32.52723061315209,-25.06454411230293,2.0,2.0
32.513839556805806,-25.32799818718854,2.0,2.0
32.4998159567556,-25.591425731837997,2.0,2.0
32.48521833529681,-25.854828652986924,2.0,2.0
32.47010521472471,-26.118208857370906,2.0,2.0
32.45453511733466,-26.381568251725557,2.0,2.0
32.43856656542194,-26.644908742786466,2.0,2.0
32.42225808128187,-26.908232237289244,2.0,2.0
32.40566818720975,-27.17154064196947,2.0,2.0
32.38885540550091,-27.434835863562775,2.0,2.0
32.37187825845064,-27.69811980880473,2.0,2.0
32.35479526835428,-27.961394384430953,2.0,2.0
32.33766495750711,-28.22466149717704,2.0,2.0
32.32054584820447,-28.487923053778594,2.0,2.0
32.30349646274165,-28.751180960971208,2.0,2.0
32.286575323413956,-29.014437125490478,2.0,2.0
32.26984095251672,-29.27769345407202,2.0,2.0
32.25335187234525,-29.540951853451425,2.0,2.0
32.237166605194844,-29.804214230364295,2.0,2.0
32.22134367336082,-30.06748249154623,2.0,2.0
32.2059415991385,-30.330758543732827,2.0,2.0
32.191018904823174,-30.594044293659685,2.0,2.0
32.17663411271016,-30.857341648062413,2.0,2.0
32.16284574509479,-31.120652513676603,2.0,2.0
32.14971232427235,-31.383978797237862,2.0,2.0
32.13729237253816,-31.64732240548179,2.0,2.0
32.12564441218754,-31.91068524514398,2.0,2.0
32.11482696551578,-32.17406922296003,2.0,2.0
32.10489855481821,-32.43747624566556,2.0,2.0
32.09591768502377,-32.70090821911823,2.0,2.0
32.087843223376744,-32.9643620122449,2.0,2.0
32.080300075178904,-33.22781761137205,2.0,2.0
32.072843255550424,-33.49125146970501,2.0,2.0
32.06502777961152,-33.754640040449104,2.0,2.0
32.056408662482376,-34.017959776809676,2.0,2.0
32.04654091928322,-34.281187131992034,2.0,2.0
32.03497956513423,-34.54429855920154,2.0,2.0
32.02127961515561,-34.8072705116435,2.0,2.0
32.00499608446757,-35.07007944252326,2.0,2.0
31.985683988190313,-35.33270180504614,2.0,2.0
31.96289834144403,-35.59511405241747,2.0,2.0
31.936194159348926,-35.85729263784259,2.0,2.0
31.905126457025204,-36.119214014526825,2.0,2.0
31.86925024959307,-36.38085463567552,2.0,2.0
31.828120552172717,-36.642190954493984,2.0,2.0
31.781285726312937,-36.903187473193256,2.0,2.0
31.728077154432984,-37.16341896098507,2.0,2.0
31.667566343670586,-37.42199340498512,2.0,2.0
31.598809480742,-37.677991274114895,2.0,2.0
31.520862752363485,-37.93049303729591,2.0,2.0
31.432782345251304,-38.178579163449676,2.0,2.0
31.333624446121707,-38.42133012149769,2.0,2.0
31.222445241690956,-38.657826380361485,2.0,2.0
31.0983009186753,-38.88714840896255,2.0,2.0
30.960247663790998,-39.108376676222406,2.0,2.0
30.80735474059872,-39.32059428073857,2.0,2.0
30.639572534977635,-39.5230615095917,2.0,2.0
30.45827576205957,-39.71532507404496,2.0,2.0
30.26496877318234,-39.89695775443529,2.0,2.0
30.061155919683777,-40.06753233109961,2.0,2.0
29.848341552901708,-40.22662158437484,2.0,2.0
29.628030024173945,-40.37379829459788,2.0,2.0
29.40158290029025,-40.5087659307832,2.0,2.0
29.169634918115534,-40.63189321909616,2.0,2.0
